HCPCS,DESCRIPTION,STATUS CODE,WORK RVU
580,Anesth heart/lung transplnt,J,0
600,Anesth spine cord surgery,J,0
604,Anesth sitting procedure,J,0
620,Anesth spine cord surgery,J,0
625,Anes spine tranthor w/o vent,J,0
626,Anes spine transthor w/vent,J,0
630,Anesth spine cord surgery,J,0
632,Anesth removal of nerves,J,0
635,Anesth lumbar puncture,J,0
640,Anesth spine manipulation,J,0
670,Anesth spine cord surgery,J,0
700,Anesth abdominal wall surg,J,0
702,Anesth for liver biopsy,J,0
0071T,Us leiomyomata ablate <200,C,0
0072T,Fcsd us abltj leiomyom>=200,C,0
730,Anesth abdominal wall surg,J,0
731,Anes upr gi ndsc px nos,J,0
732,Anes upr gi ndsc px ercp,J,0
750,Anes hrna rpr upr abd nos,J,0
752,Anes hrna rpr lmbr&vnt&/dehs,J,0
754,Anes hrna rpr omphalocele,J,0
756,Anes hrna rpr diphrg hrna,J,0
0075T,Perq stent/chest vert art,C,0
0075T,Perq stent/chest vert art,C,0
0075T,Perq stent/chest vert art,C,0
0076T,S&i stent/chest vert art,C,0
0076T,S&i stent/chest vert art,C,0
0076T,S&i stent/chest vert art,C,0
770,Anes px maj abd blood vessel,J,0
790,Anes iper upr abd nos,J,0
792,Anes iper upr abd prtl hptc,J,0
794,Anes iper upr abd pncrtect,J,0
796,Anes iper upr abd lvr trnspl,J,0
797,Anes iper upr abd gstr px mo,J,0
800,Anesth abdominal wall surg,J,0
802,Anesth fat layer removal,J,0
811,Anes lwr intst ndsc nos,J,0
812,Anes lwr intst scr colsc,J,0
813,Anes upr lwr gi ndsc px,J,0
820,Anesth abdominal wall surg,J,0
830,Anesth repair of hernia,J,0
832,Anesth repair of hernia,J,0
834,Anesth hernia repair < 1 yr,J,0
836,Anesth hernia repair preemie,J,0
840,Anesth surg lower abdomen,J,0
842,Anesth amniocentesis,J,0
844,Anesth pelvis surgery,J,0
846,Anesth hysterectomy,J,0
848,Anesth pelvic organ surg,J,0
851,Anesth tubal ligation,J,0
860,Anesth surgery of abdomen,J,0
862,Anesth kidney/ureter surg,J,0
864,Anesth removal of bladder,J,0
865,Anesth removal of prostate,J,0
866,Anesth removal of adrenal,J,0
868,Anesth kidney transplant,J,0
870,Anesth bladder stone surg,J,0
872,Anesth kidney stone destruct,J,0
873,Anesth kidney stone destruct,J,0
880,Anesth abdomen vessel surg,J,0
882,Anesth major vein ligation,J,0
902,Anesth anorectal surgery,J,0
904,Anesth perineal surgery,J,0
906,Anes vulvectomy,J,0
908,Anesth removal of prostate,J,0
910,Anesth bladder surgery,J,0
912,Anesth bladder tumor surg,J,0
914,Anesth removal of prostate,J,0
916,Anesth bleeding control,J,0
918,Anesth stone removal,J,0
920,Anesth genitalia surgery,J,0
921,Anesth vasectomy,J,0
922,Anesth sperm duct surgery,J,0
924,Anesth testis exploration,J,0
926,Anesth removal of testis,J,0
928,Anesth removal of testis,J,0
930,Anesth testis suspension,J,0
932,Anesth amputation of penis,J,0
934,Anesth penis nodes removal,J,0
936,Anesth penis nodes removal,J,0
938,Anesth insert penis device,J,0
940,Anesth vaginal procedures,J,0
942,Anesth surg on vag/urethral,J,0
944,Anesth vaginal hysterectomy,J,0
948,Anesth repair of cervix,J,0
950,Anesth vaginal endoscopy,J,0
952,Anesth hysteroscope/graph,J,0
0095T,Rmvl artific disc addl crvcl,C,0
0098T,Rev artific disc addl,C,0
0100T,Prosth retina receive&gen,C,0
0101T,Esw muscskel sys nos,C,0
0102T,Esw phy anes lat hmrl epcndl,C,0
0106T,Touch quant sensory test,C,0
0107T,Vibrate quant sensory test,C,0
0108T,Cool quant sensory test,C,0
0109T,Heat quant sensory test,C,0
0110T,Nos quant sensory test,C,0
1112,Anesth bone aspirate/bx,J,0
1120,Anesth pelvis surgery,J,0
1130,Anesth body cast procedure,J,0
1140,Anesth amputation at pelvis,J,0
1150,Anesth pelvic tumor surgery,J,0
1160,Anesth pelvis procedure,J,0
1170,Anesth pelvis surgery,J,0
1173,Anesth fx repair pelvis,J,0
1200,Anesth hip joint procedure,J,0
1202,Anesth arthroscopy of hip,J,0
1210,Anesth hip joint surgery,J,0
1212,Anesth hip disarticulation,J,0
1214,Anesth hip arthroplasty,J,0
1215,Anesth revise hip repair,J,0
1220,Anesth procedure on femur,J,0
1230,Anesth surgery of femur,J,0
1232,Anesth amputation of femur,J,0
1234,Anesth radical femur surg,J,0
1250,Anesth upper leg surgery,J,0
1260,Anesth upper leg veins surg,J,0
1270,Anesth thigh arteries surg,J,0
1272,Anesth femoral artery surg,J,0
1274,Anesth femoral embolectomy,J,0
1320,Anesth knee area surgery,J,0
1340,Anesth knee area procedure,J,0
1360,Anesth knee area surgery,J,0
1380,Anesth knee joint procedure,J,0
1382,Anesth dx knee arthroscopy,J,0
1390,Anesth knee area procedure,J,0
1392,Anesth knee area surgery,J,0
1400,Anesth knee joint surgery,J,0
1402,Anesth knee arthroplasty,J,0
1404,Anesth amputation at knee,J,0
1420,Anesth knee joint casting,J,0
1430,Anesth knee veins surgery,J,0
1432,Anesth knee vessel surg,J,0
1440,Anesth knee arteries surg,J,0
1442,Anesth knee artery surg,J,0
1444,Anesth knee artery repair,J,0
1462,Anesth lower leg procedure,J,0
1464,Anesth ankle/ft arthroscopy,J,0
1470,Anesth lower leg surgery,J,0
1472,Anesth achilles tendon surg,J,0
1474,Anesth lower leg surgery,J,0
1480,Anesth lower leg bone surg,J,0
1482,Anesth radical leg surgery,J,0
1484,Anesth lower leg revision,J,0
1486,Anesth ankle replacement,J,0
1490,Anesth lower leg casting,J,0
1500,Anesth leg arteries surg,J,0
1502,Anesth lwr leg embolectomy,J,0
1520,Anesth lower leg vein surg,J,0
1522,Anesth lower leg vein surg,J,0
1610,Anesth surgery of shoulder,J,0
1620,Anesth shoulder procedure,J,0
1622,Anes dx shoulder arthroscopy,J,0
1630,Anesth surgery of shoulder,J,0
1634,Anesth shoulder joint amput,J,0
1636,Anesth forequarter amput,J,0
1638,Anesth shoulder replacement,J,0
0164T,Remove lumb artif disc addl,C,0
1650,Anesth shoulder artery surg,J,0
1652,Anesth shoulder vessel surg,J,0
1654,Anesth shoulder vessel surg,J,0
1656,Anesth arm-leg vessel surg,J,0
0165T,Revise lumb artif disc addl,C,0
1670,Anesth shoulder vein surg,J,0
1680,Anesth shoulder casting,J,0
1710,Anesth elbow area surgery,J,0
1712,Anesth uppr arm tendon surg,J,0
1714,Anesth uppr arm tendon surg,J,0
1716,Anesth biceps tendon repair,J,0
1730,Anesth uppr arm procedure,J,0
1732,Anesth dx elbow arthroscopy,J,0
1740,Anesth upper arm surgery,J,0
1742,Anesth humerus surgery,J,0
1744,Anesth humerus repair,J,0
0174T,Cad cxr with interp,C,0
1756,Anesth radical humerus surg,J,0
1758,Anesth humeral lesion surg,J,0
0175T,Cad cxr remote,C,0
1760,Anesth elbow replacement,J,0
1770,Anesth uppr arm artery surg,J,0
1772,Anesth uppr arm embolectomy,J,0
1780,Anesth upper arm vein surg,J,0
1782,Anesth uppr arm vein repair,J,0
1810,Anesth lower arm surgery,J,0
1820,Anesth lower arm procedure,J,0
1829,Anesth dx wrist arthroscopy,J,0
1830,Anesth lower arm surgery,J,0
1832,Anesth wrist replacement,J,0
1840,Anesth lwr arm artery surg,J,0
1842,Anesth lwr arm embolectomy,J,0
1844,Anesth vascular shunt surg,J,0
0184T,Exc rectal tumor endoscopic,C,0
1850,Anesth lower arm vein surg,J,0
1852,Anesth lwr arm vein repair,J,0
1860,Anesth lower arm casting,J,0
1916,Anesth dx arteriography,J,0
1920,Anesth catheterize heart,J,0
1922,Anesth cat or mri scan,J,0
1924,Anes ther interven rad artrl,J,0
1925,Anes ther interven rad card,J,0
1926,Anes tx interv rad hrt/cran,J,0
1930,Anes ther interven rad vein,J,0
1931,Anes ther interven rad tips,J,0
1932,Anes tx interv rad th vein,J,0
1933,Anes tx interv rad cran vein,J,0
1937,Anes drg/aspir crv/thrc,J,0
1938,Anes drg/aspir lmbr/sac,J,0
1939,Anes nulyt agt crv/thrc,J,0
1940,Anes nulyt agt lmbr/sac,J,0
1941,Anes neuromd/ntrvrt crv/thrc,J,0
1942,Anes neuromd/ntrvrt lmbr/sac,J,0
1951,Anes 2&3 burn less 4% tbsa,J,0
1952,Anes 2&3 burn 4-9% tbsa,J,0
1953,Anes 2&3 burn ea add 9% tbsa,J,0
1958,Anes xtrnl cephalic version,J,0
1960,Anes vaginal delivery only,J,0
1961,Anes cesarean delivery only,J,0
1962,Anes urgent hysterectomy,J,0
1963,Anes cesarean hysterectomy,J,0
1965,Anes incompl/missed ab px,J,0
1966,Anes induced abortion px,J,0
1967,Neuraxl lbr anes vag dlvr,J,0
1968,Anes/analg cs dlvr neuraxial,J,0
1969,Anes c hyst flwg neuraxial,J,0
0198T,Ocular blood flow measure,C,0
1990,Support for organ donor,J,0
1991,Anesth nerve block/inj,J,0
1992,Anesth n block/inj prone,J,0
1996,Hosp manage cont drug admin,J,0
1999,Unlisted anes procedure,J,0
0200T,Perq sacral augmt unilat inj,C,0
0201T,Perq sacral augmt bilat inj,C,0
0202T,Post vert arthrplst 1 lumbar,C,0
0207T,Clear eyelid gland w/heat,C,0
0208T,Audiometry air only,C,0
0209T,Audiometry air & bone,C,0
0210T,Speech audiometry threshold,C,0
0211T,Speech audiom thresh & recog,C,0
0212T,Compre audiometry evaluation,C,0
0213T,Njx paravert w/us cer/thor,C,0
0214T,Njx paravert w/us cer/thor,C,0
0215T,Njx paravert w/us cer/thor,C,0
0216T,Njx paravert w/us lumb/sac,C,0
0217T,Njx paravert w/us lumb/sac,C,0
0218T,Njx paravert w/us lumb/sac,C,0
0219T,Plmt post facet implt cerv,C,0
0220T,Plmt post facet implt thor,C,0
0221T,Plmt post facet implt lumb,C,0
0222T,Plmt post facet implt addl,C,0
0232T,Njx platelet plasma,C,0
0234T,Trluml perip athrc renal art,C,0
0235T,Trluml perip athrc visceral,C,0
0236T,Trluml perip athrc abd aorta,C,0
0237T,Trluml perip athrc brchiocph,C,0
0238T,Trluml perip athrc iliac art,C,0
0253T,Insert aqueous drain device,C,0
0263T,Im b1 mrw cel ther cmpl,C,0
0264T,Im b1 mrw cel ther xcl hrvst,C,0
0265T,Im b1 mrw cel ther hrvst onl,C,0
0266T,Implt/rpl crtd sns dev total,C,0
0267T,Implt/rpl crtd sns dev lead,C,0
0268T,Implt/rpl crtd sns dev gen,C,0
0269T,Rev/remvl crtd sns dev total,C,0
0270T,Rev/remvl crtd sns dev lead,C,0
0271T,Rev/remvl crtd sns dev gen,C,0
0272T,Interrogate crtd sns dev,C,0
0273T,Interrogate crtd sns w/pgrmg,C,0
0274T,Perq lamot/lam crv/thrc,C,0
0275T,Perq lamot/lam lumbar,R,0
0278T,Tempr,C,0
0308T,Insj ocular telescope prosth,C,0
0329T,Mntr io press 24hrs/> uni/bi,C,0
0330T,Tear film img uni/bi w/i&r,C,0
0331T,Heart symp image plnr,C,0
0332T,Heart symp image plnr spect,C,0
0333T,Visual ep scr acuity auto,C,0
0335T,Insj sinus tarsi implant,C,0
0338T,Trnscth renal symp denrv unl,C,0
0339T,Trnscth renal symp denrv bil,C,0
0342T,Thxp apheresis w/hdl delip,C,0
0345T,Transcath mtral vlve repair,C,0
0347T,Ins bone device for rsa,C,0
0348T,Rsa spine exam,C,0
0349T,Rsa upper extr exam,C,0
0350T,Rsa lower extr exam,C,0
0351T,Intraop oct brst/node spec,C,0
0352T,Oct brst/node i&r per spec,C,0
0353T,Intraop oct breast cavity,C,0
0354T,Oct breast surg cavity i&r,C,0
0358T,Bia whole body,C,0
0362T,Bhv id suprt assmt ea 15 min,C,0
0373T,Adapt bhv tx ea 15 min,C,0
0378T,Visual field assmnt rev/rprt,C,0
0379T,Vis field assmnt tech suppt,C,0
0394T,Hdr elctrnc skn surf brchytx,C,0
0395T,Hdr elctr ntrst/ntrcv brchtx,C,0
0397T,Ercp w/optical endomicroscpy,C,0
0402T,Colgn crs-link crn&pachymtry,C,0
0403T,Diabetes prev standard curr,C,0
0408T,Insj/rplc cardiac modulj sys,C,0
0409T,Insj/rplc car modulj pls gn,C,0
0410T,Insj/rplc car modulj atr elt,C,0
0411T,Insj/rplc car modulj vnt elt,C,0
0412T,Rmvl cardiac modulj pls gen,C,0
0413T,Rmvl car modulj tranvns elt,C,0
0414T,Rmvl & rpl car modulj pls gn,C,0
0415T,Repos car modulj tranvns elt,C,0
0416T,Reloc skin pocket pls gen,C,0
0417T,Prgrmg eval cardiac modulj,C,0
0417T,Prgrmg eval cardiac modulj,C,0
0417T,Prgrmg eval cardiac modulj,C,0
0418T,Interro eval cardiac modulj,C,0
0418T,Interro eval cardiac modulj,C,0
0418T,Interro eval cardiac modulj,C,0
0419T,Dstrj neurofibroma xtnsv,C,0
0420T,Dstrj neurofibroma xtnsv,C,0
0421T,Waterjet prostate abltj cmpl,C,0
0422T,Tactile breast img uni/bi,C,0
0437T,Impltj synth rnfcmt abdl wal,C,0
0439T,Myocrd contrast prfuj echo,C,0
0440T,Abltj perc uxtr/perph nrv,C,0
0441T,Abltj perc lxtr/perph nrv,C,0
0442T,Abltj perc plex/trncl nrv,C,0
0443T,R-t spctrl alys prst8 tiss,C,0
0444T,1st plmt drug elut oc ins,C,0
0445T,Sbsqt plmt drug elut oc ins,C,0
0446T,Insj impltbl glucose sensor,A,1.14
0447T,Rmvl impltbl glucose sensor,A,1.34
0448T,Remvl insj impltbl gluc sens,A,1.91
0449T,Insj aqueous drain dev 1st,C,0
0450T,Insj aqueous drain dev each,C,0
0464T,Visual ep test for glaucoma,C,0
0469T,Rta polarize scan oc scr bi,N,0
0472T,Prgrmg io rta eltrd ra,C,0
0473T,Reprgrmg io rta eltrd ra,C,0
0474T,Insj aqueous drg dev io rsvr,C,0
0479T,Fxjl abl lsr 1st 100 sq cm,C,0
0480T,Fxjl abl lsr ea addl 100sqcm,C,0
0481T,Njx autol wbc concentrate,C,0
0483T,Tmvi percutaneous approach,C,0
0484T,Tmvi transthoracic exposure,C,0
0485T,Oct mid ear i&r unilateral,C,0
0485T,Oct mid ear i&r unilateral,C,0
0485T,Oct mid ear i&r unilateral,C,0
0486T,Oct mid ear i&r bilateral,C,0
0486T,Oct mid ear i&r bilateral,C,0
0486T,Oct mid ear i&r bilateral,C,0
0488T,Diabetes prev online/elec,C,0
0489T,Regn cell tx scldr hands,C,0
0490T,Regn cell tx scldr h mlt inj,C,0
0494T,Prep & cannulj cdvr don lung,C,0
0495T,Mntr cdvr don lng 1st 2 hrs,C,0
0496T,Mntr cdvr don lng ea addl hr,C,0
0500F,Initial prenatal care visit,M,0
0501F,Prenatal flow sheet,I,0
0502F,Subsequent prenatal care,I,0
0503F,Postpartum care visit,I,0
0505F,Hemodialysis plan docd,I,0
0505T,Ev fempop artl revsc,C,0
0506T,Mac pgmt opt dns meas hfp,C,0
0506T,Mac pgmt opt dns meas hfp,C,0
0506T,Mac pgmt opt dns meas hfp,C,0
0507F,Periton dialysis plan docd,I,0
0507T,Near ifr 2img mibmn glnd i&r,C,0
0507T,Near ifr 2img mibmn glnd i&r,C,0
0507T,Near ifr 2img mibmn glnd i&r,C,0
0509F,Urine incon plan docd,M,0
0509T,Pattern erg w/i&r,A,0.4
0509T,Pattern erg w/i&r,A,0.4
0509T,Pattern erg w/i&r,A,0
0510T,Rmvl sinus tarsi implant,C,0
0511T,Rmvl&rinsj sinus tarsi implt,C,0
0512T,Esw integ wnd hlg 1st wnd,C,0
0513F,Elev bp plan of care docd,M,0
0513T,Esw integ wnd hlg ea addl,C,0
0514F,Care plan hgb docd esa pt,I,0
0515T,Insj wcs lv compl sys,C,0
0516F,Anemia plan of care docd,I,0
0516T,Insj wcs lv eltrd only,C,0
0517F,Glaucoma plan of care docd,I,0
0517T,Insj wcs lv both compnt pg,C,0
0518F,Fall plan of care docd,M,0
0518T,Rmvl pg wcs lv battery only,C,0
0519F,Pland chemo docd b/4 txmnt,I,0
0519T,Rmv&rplcmt pg wcs lv both,C,0
0520F,Rad dos limts b/4 3d rad,M,0
0520T,Rmv&rplcmt pg wcs lv battery,C,0
0521F,Plan of care 4 pain docd,M,0
0521T,Interrog dev eval wcs ip,C,0
0521T,Interrog dev eval wcs ip,C,0
0521T,Interrog dev eval wcs ip,C,0
0522T,Prgrmg dev eval wcs ip,C,0
0522T,Prgrmg dev eval wcs ip,C,0
0522T,Prgrmg dev eval wcs ip,C,0
0523T,Ntrapx c ffr w/3d funcjl map,C,0
0524T,Ev cath dir chem abltj w/img,C,0
0525F,Initial visit for episode,I,0
0525T,Insj/rplcmt compl iims,C,0
0526F,Subs visit for episode,M,0
0526T,Insj/rplcmt iims eltrd only,C,0
0527T,Insj/rplcmt iims implt mntr,C,0
0528F,Rcmnd flw-up 10 yrs docd,I,0
0528T,Prgrmg dev eval iims ip,C,0
0528T,Prgrmg dev eval iims ip,C,0
0528T,Prgrmg dev eval iims ip,C,0
0529F,Intrvl 3/>yr pts clnscp docd,M,0
0529T,Interrog dev eval iims ip,C,0
0529T,Interrog dev eval iims ip,C,0
0529T,Interrog dev eval iims ip,C,0
0530T,Removal complete iims,C,0
0531T,Removal iims electrode only,C,0
0532T,Removal iims implt mntr only,C,0
0535F,Dyspnea mngmnt plan docd,I,0
0540F,Gluco mngmnt plan docd,M,0
0541T,Myocardial imaging mcg,C,0
0542T,Myocardial imaging mcg i&r,C,0
0543T,Ta mv rpr w/artif chord tend,C,0
0544T,Tcat mv annulus rcnstj,C,0
0545F,Follow up care plan mdd docd,I,0
0545T,Tcat tv annulus rcnstj,C,0
0546T,Rf spectrsc ntraop mrgn asmt,C,0
0547T,B1 matrl qual tst mcrind tib,C,0
0550F,Cytopath report nongyn spcmn,I,0
0551F,Cytopath report non routine,I,0
0552T,Low-level laser therapy,C,0
0554T,B1 str & fx rsk analysis,C,0
0555F,Symptom mgmnt plan care docd,I,0
0555T,B1 str&fx rsk transmis data,C,0
0556F,Plan care lipid control docd,I,0
0556T,B1 str & fx rsk assessment,C,0
0557F,Plan caremng angnl symptdocd,I,0
0557T,B1 str & fx rsk i&r,C,0
0558T,Ct scan f/biomchn ct alys,C,0
0559T,Antmc mdl 3d print 1st cmpnt,C,0
0560T,Antmc mdl 3d print ea addl,C,0
0561T,Antmc guide 3d print 1st gd,C,0
0562T,Antmc guide 3d print ea addl,C,0
0563T,Evac meibomian glnd heat bi,C,0
0565T,Autol cell implt adps hrvg,C,0
0566T,Autol cell implt adps njx,C,0
0569T,Ttvr perq appr 1st prosth,C,0
0570T,Ttvr perq ea addl prosth,C,0
0571T,Insj/rplcmt icds ss eltrd,C,0
0572T,Insertion ss dfb electrode,C,0
0573T,Removal ss dfb electrode,C,0
0574T,Repos prev ss impl dfb eltrd,C,0
0575F,Hiv rna plan care docd,I,0
0575T,Prgrmg dev eval icds ss ip,C,0
0576T,Interrog dev eval icds ss ip,C,0
0577T,Ephys eval icds ss,C,0
0578T,Rem interrog dev icds phys,C,0
0579T,Rem interrog dev icds tech,C,0
0580F,Multidisciplinary care plan,I,0
0580T,Rmvl ss impl dfb pg only,C,0
0581F,Pt trnsfrd from anesth to cc,M,0
0581T,Abltj mal brst tum perq crtx,C,0
0582F,No trnsfr from anesth to cc,I,0
0582T,Trurl abltj mal prst8 tiss,C,0
0583F,Transfer care checklist used,M,0
0583T,Tmpst auto tube dlvr sys,C,0
0584F,No transfercare chklist used,I,0
0584T,Perq islet cell transplant,C,0
0585T,Laps islet cell transplant,C,0
0586T,Open islet cell transplant,C,0
0587T,Perq impltj/rplcmt isdns ptn,C,0
0588T,Revision/removal isdns ptn,C,0
0589T,Elec alys smpl prgrmg iins,C,0
0590T,Elec alys cplx prgrmg iins,C,0
0591T,Hlth&wb coaching indiv 1st,C,0
0592T,Hlth&wb coaching indiv f-up,C,0
0593T,Hlth&wb coaching group,C,0
0594T,Osteot hum xtrnl lngth dev,C,0
0596T,Temp fml iu vlv-pmp 1st insj,C,0
0597T,Temp fml iu valve-pmp rplcmt,C,0
0598T,Ncntc r-t fluor wnd img 1st,C,0
0599T,Ncntc r-t fluor wnd img ea,C,0
0600T,Ire abltj 1+tum organ perq,C,0
0601T,Ire abltj 1+tumors open,C,0
0602T,Transdermal gfr measurements,C,0
0603T,Transdermal gfr monitoring,C,0
0604T,Rem oct rta dev setup&educaj,C,0
0605T,Rem oct rta techl sprt min 8,C,0
0606T,Rem oct rta phys/qhp ea 30d,C,0
0607T,Rem mntr pulm flu mntr setup,C,0
0608T,Rem mntr pulm flu mntr alys,C,0
0609T,Mrs disc pain acquisj data,C,0
0610T,Mrs disc pain transmis data,C,0
0611T,Mrs disc pain alg alys data,C,0
0612T,Mrs discogenic pain i&r,C,0
0613T,Perq tcat intratrl septl sht,C,0
0614T,Rmvl&rplcmt ss impl dfb pg,C,0
0615T,Auto alys binocular eye mvmt,C,0
0619T,Cysto w/prst8 commissurotomy,C,0
0620T,Evasc ven artlz tibl/prnl vn,C,0
0621T,Trabeculostomy interno laser,C,0
0622T,Trabeculostomy int lsr w/scp,C,0
0623T,Auto quantification c plaque,C,0
0624T,Auto quan c plaq data prep,C,0
0625T,Auto quan c plaq cptr alys,C,0
0626T,Auto quan c plaq i&r,C,0
0627T,Perq njx algc fluor lmbr 1st,C,0
0628T,Perq njx algc fluor lmbr ea,C,0
0629T,Perq njx algc ct lmbr 1st,C,0
0630T,Perq njx algc ct lmbr ea,C,0
0631T,Tc vis lit hyperspectral img,C,0
0632T,Perq tcat us abltj nrv p-art,C,0
0633T,Ct breast w/3d uni c-,C,0
0633T,Ct breast w/3d uni c-,C,0
0633T,Ct breast w/3d uni c-,C,0
0634T,Ct breast w/3d uni c+,C,0
0634T,Ct breast w/3d uni c+,C,0
0634T,Ct breast w/3d uni c+,C,0
0635T,Ct breast w/3d uni c-/c+,C,0
0635T,Ct breast w/3d uni c-/c+,C,0
0635T,Ct breast w/3d uni c-/c+,C,0
0636T,Ct breast w/3d bi c-,C,0
0636T,Ct breast w/3d bi c-,C,0
0636T,Ct breast w/3d bi c-,C,0
0637T,Ct breast w/3d bi c+,C,0
0637T,Ct breast w/3d bi c+,C,0
0637T,Ct breast w/3d bi c+,C,0
0638T,Ct breast w/3d bi c-/c+,C,0
0638T,Ct breast w/3d bi c-/c+,C,0
0638T,Ct breast w/3d bi c-/c+,C,0
0639T,Wrls skn snr anisotropy meas,C,0
0640T,Ncntc ifr spctrsc o/t pad 1,C,0
0640T,Ncntc ifr spctrsc o/t pad 1,C,0
0640T,Ncntc ifr spctrsc o/t pad 1,C,0
0643T,Tcat l ventr rstrj dev implt,C,0
0644T,Tcat rmvl/dblk icar mas perq,C,0
0645T,Tcat impltj c sins rdctj dev,C,0
0646T,Ttvi/rplcmt w/prstc vlv perq,C,0
0647T,Insj gtube perq mag gastrpxy,C,0
0648T,Quan mr tis wo mri 1orgn,C,0
0648T,Quan mr tis wo mri 1orgn,C,0
0648T,Quan mr tis wo mri 1orgn,C,0
0649T,Quan mr tiss w/mri 1orgn,C,0
0649T,Quan mr tiss w/mri 1orgn,C,0
0649T,Quan mr tiss w/mri 1orgn,C,0
0650T,Prgrmg dev eval scrms remote,C,0
0650T,Prgrmg dev eval scrms remote,C,0
0650T,Prgrmg dev eval scrms remote,C,0
0651T,Mag ctrld capsule endoscopy,C,0
0652T,Egd flx transnasal dx br/wa,C,0
0653T,Egd flx transnasal bx 1/mlt,C,0
0654T,Egd flx transnasal tube/cath,C,0
0655T,Tprnl focal abltj mal prst8,C,0
0656T,Ant lmbr vrt bdy teth <7 seg,C,0
0657T,Ant lmbr vrt bdy teth 8+ seg,C,0
0658T,Elec impd spectrsc 1+skn les,C,0
0659T,Tcat intra-c nfs supersat o2,C,0
0660T,Implt ant sgm io nbio rx sys,C,0
0661T,Rmvl&rimpltj ant sgm implt,C,0
0662T,Scalp cool 1st meas&calbrj,C,0
0663T,Scalp cool plmt mntr rmvl,C,0
0664T,Don hysterectomy open cdvr,N,0
0665T,Don hysterectomy open liv,N,0
0666T,Don hysterectomy laps liv,N,0
0667T,Don hysterectomy rcp uter,N,0
0668T,Bkbench prep don uter algrft,C,0
0669T,Bkbench rcnstj don uter ven,C,0
0670T,Bkbench rcnstj don uter artl,C,0
0671T,Insj ant sgm aq drg dev 1+,C,0
0672T,Ndovag cryg rf remdl tiss,C,0
0673T,Abltj b9 thyr ndul perq lasr,C,0
0674T,Laps insj nw/rpcmt prm isdss,C,0
0675T,Laps insj nw/rpcmt isdss 1ld,C,0
0676T,Laps insj nw/rpcmt isdss ea,C,0
0677T,Laps repos lead isdss 1st ld,C,0
0678T,Laps repos lead isdss ea add,C,0
0679T,Laps rmvl lead isdss,C,0
0680T,Insj/rplcmt pg only isdss,C,0
0681T,Rlcj pulse gen only isdss,C,0
0682T,Removal pulse gen only isdss,C,0
